Image Name,gbifID,Classification,identifier,Notes
4111690212_5,4111690212,1,https://inaturalist-open-data.s3.amazonaws.com/photos/275929430/original.jpeg,"Obfuscated silique, kinda"
2841401856_1,2841401856,1,https://observation.org/photos/20690666.jpg,Mining 1
4881026650_1,4881026650,1,https://observation.org/photos/86444502.jpg,
5081593156_3,5081593156,1,https://observation.org/photos/111590291.jpg,
3773613322_1,3773613322,1,https://inaturalist-open-data.s3.amazonaws.com/photos/196960035/original.jpg,
5087754675_1,5087754675,1,https://inaturalist-open-data.s3.amazonaws.com/photos/475509646/original.jpeg,
3113502315_5,3113502315,1,https://inaturalist-open-data.s3.amazonaws.com/photos/127962356/original.jpeg,
3824409211_1,3824409211,1,https://observation.org/photos/48172863.jpg,
2984467853_2,2984467853,1,https://inaturalist-open-data.s3.amazonaws.com/photos/103895240/original.jpeg,Mining 2
4407540797_1,4407540797,1,https://inaturalist-open-data.s3.amazonaws.com/photos/316130354/original.jpeg,
4528034780_3,4528034780,0,https://inaturalist-open-data.s3.amazonaws.com/photos/352932161/original.jpeg,Rosette
5110459079_1,5110459079,0,https://bs.plantnet.org/image/o/99ef80a97bfda59cdee80a0e128e0dc31804dc84,Lots of rosettes
3822704114_1,3822704114,0,https://observation.org/photos/46548414.jpg,Rosette
3824078510_1,3824078510,0,https://observation.org/photos/47689079.jpg,Rosette
5008372281_3,5008372281,0,https://inaturalist-open-data.s3.amazonaws.com/photos/459134860/original.jpeg,Leaf of plant
1958488581_1,1958488581,0,https://observation.org/photos/3076446.jpg,Bolting
3729542534_1,3729542534,0,https://observation.org/photos/33729091.jpg,Rosette + little stem growth
4009903891_2,4009903891,0,https://inaturalist-open-data.s3.amazonaws.com/photos/248798917/original.jpg,Many bolting plants
1957660327_1,1957660327,0,https://observation.org/photos/3611856.jpg,Close up on flower
3823780421_2,3823780421,0,https://observation.org/photos/47641390.jpg,Rosette + buds
3824235284_1,3824235284,0,https://observation.org/photos/48792383.jpg,Only flowers
3826340961_1,3826340961,0,https://observation.org/photos/46469210.jpg,Flower bud looks like an silique
3826712133_1,3826712133,0,https://observation.org/photos/47479710.jpg,Early flowering stage
4018250537_1,4018250537,0,https://inaturalist-open-data.s3.amazonaws.com/photos/208943650/original.jpg,Occluded plant
4091532420_4,4091532420,0,https://inaturalist-open-data.s3.amazonaws.com/photos/268233911/original.jpg,bolting
4129761380_5,4129761380,0,https://inaturalist-open-data.s3.amazonaws.com/photos/271826638/original.jpeg,Blurry
4129905575_2,4129905575_,0,https://inaturalist-open-data.s3.amazonaws.com/photos/271715310/original.jpeg,"Blurry, background kind of looks like siliques"
4156917675_1,4156917675,0,https://observation.org/photos/65316035.jpg,"Noisy, rosette"
3823097511_2,3823097511,0,https://observation.org/photos/47099093.jpg,Noisy + blurry
4886353030_3,4886353030,0,https://observation.org/photos/86197055.jpg,"Noisy, Plant not even shown?"
4936502430_1,4936502430,0,https://inaturalist-open-data.s3.amazonaws.com/photos/188790119/original.jpeg,"Open flower, no silique"
3822804885_2,3822804885,0,https://observation.org/photos/46852040.jpg,Flowers present
4111974057_2,4111974057,0,https://inaturalist-open-data.s3.amazonaws.com/photos/277467627/original.jpeg,Open flower
4096656467_6,4096656467,0,https://inaturalist-open-data.s3.amazonaws.com/photos/270232983/original.jpeg,Early stage flower
3827377548_1,3827377548,0,https://observation.org/photos/47701282.jpg,Many flowers and buds
3773749939_1,3773749939,0,https://inaturalist-open-data.s3.amazonaws.com/photos/194198792/original.jpeg,Mining 1
5101304532_1,5101304532,0,https://observation.org/photos/112568292.jpg,
3773151113_3,3773151113,0,https://inaturalist-open-data.s3.amazonaws.com/photos/192518540/original.jpeg,
3772688756_1,3772688756,0,https://inaturalist-open-data.s3.amazonaws.com/photos/192281416/original.jpeg,
5108877876_1,5108877876,0,https://observation.org/photos/113640574.jpg,
2596399149_4,2596399149,0,https://inaturalist-open-data.s3.amazonaws.com/photos/64533386/original.jpeg,
3824205315_1,3824205315,0,https://observation.org/photos/47594540.jpg,
4852251530_1,4852251530,0,https://inaturalist-open-data.s3.amazonaws.com/photos/368612312/original.jpg,
4889106505_1,4889106505,0,https://observation.org/photos/85840400.jpg,Mining 2
3759129513_1,3759129513,0,https://inaturalist-open-data.s3.amazonaws.com/photos/117949461/original.jpeg,
5107915084_2,5107915084,0,https://observation.org/photos/113357859.jpg,
